,Team,Date,Home,ML
0,Carolina Hurricanes,2020-08-01,1,-121.0
1,New York Rangers,2020-08-01,0,119.0
2,Chicago Blackhawks,2020-08-01,1,139.0
3,Edmonton Oilers,2020-08-01,0,-143.0
4,Florida Panthers,2020-08-01,1,103.0
5,New York Islanders,2020-08-01,0,-108.0
6,Montreal Canadiens,2020-08-01,1,174.0
7,Pittsburgh Penguins,2020-08-01,0,-120.0
8,Calgary Flames,2020-08-01,1,-111.0
9,Winnipeg Jets,2020-08-01,0,107.0
10,Arizona Coyotes,2020-08-02,1,114.0
11,Nashville Predators,2020-08-02,0,-117.0
12,Boston Bruins,2020-08-02,1,-140.0
13,Philadelphia Flyers,2020-08-02,0,111.0
14,Colorado Avalanche,2020-08-02,1,120.0
15,St Louis Blues,2020-08-02,0,125.0
16,Columbus Blue Jackets,2020-08-02,1,142.0
17,Toronto Maple Leafs,2020-08-02,0,-143.0
18,Minnesota Wild,2020-08-02,1,110.0
19,Vancouver Canucks,2020-08-02,0,-111.0
20,Tampa Bay Lightning,2020-08-03,1,-115.0
21,Washington Capitals,2020-08-03,0,116.0
22,Dallas Stars,2020-08-03,1,115.0
23,Vegas Golden Knights,2020-08-03,0,-115.0
