,Team,Date,Home,Puck Line,PL
0,Carolina Hurricanes,2020-08-01,1,-1.50,187
1,New York Rangers,2020-08-01,0,1.50,-225
2,Chicago Blackhawks,2020-08-01,1,1.50,-188
3,Edmonton Oilers,2020-08-01,0,-1.50,163
4,Florida Panthers,2020-08-01,1,1.50,-253
5,New York Islanders,2020-08-01,0,-1.50,211
6,Montreal Canadiens,2020-08-01,1,NaN,NaN
7,Pittsburgh Penguins,2020-08-01,0,NaN,NaN
8,Calgary Flames,2020-08-01,1,-1.50,207
9,Winnipeg Jets,2020-08-01,0,1.50,-252
10,Arizona Coyotes,2020-08-02,1,1.50,-236
11,Nashville Predators,2020-08-02,0,-1.50,197
12,Boston Bruins,2020-08-02,1,-1.50,139
13,Philadelphia Flyers,2020-08-02,0,1.50,-293
14,Colorado Avalanche,2020-08-02,1,NaN,NaN
15,St Louis Blues,2020-08-02,0,NaN,NaN
16,Columbus Blue Jackets,2020-08-02,1,1.50,-188
17,Toronto Maple Leafs,2020-08-02,0,-1.50,163
18,Minnesota Wild,2020-08-02,1,1.50,-239
19,Vancouver Canucks,2020-08-02,0,-1.50,197
20,Tampa Bay Lightning,2020-08-03,1,-1.5,183
21,Washington Capitals,2020-08-03,0,1.5,-226
22,Dallas Stars,2020-08-03,1,1.5,-239
23,Vegas Golden Knights,2020-08-03,0,-1.5,195
